Registros de Boletins de Ocorrências por munícipio e mês - 2004;;;;;;;;
Fonte: SinespJC - Módulo Polícias Civis do Brasil. Extração em 25/01/2018.;;;;;;;;
Nota 1: As informações apresentadas estão de acordo com o nível de alimentação e consolidação por parte dos Estados, na base de dados do SinespJC, módulo Polícia Civil, na data da extração.;;;;;;;;
"Nota 2: Por motivo de compactação do arquivo, os campos ""sem informação"" ou preenchidos com ""0 (zero)"" foram desconsiderados.";;;;;;;;
Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;07;07/2004;1
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;08;08/2004;3
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;09;09/2004;2
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;10;10/2004;2
SUDESTE;ES;Espírito Santo;3201506;Colatina;Homicídio doloso;12;12/2004;4
SUDESTE;ES;Espírito Santo;3201506;Colatina;Roubo de veículo;08;08/2004;2
SUDESTE;ES;Espírito Santo;3205002;Serra;Estupro;04;04/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Estupro;06;06/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Estupro;07;07/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Furto de veículo;07;07/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;01;01/2004;41
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;02;02/2004;30
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;03;03/2004;24
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;04;04/2004;29
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;05;05/2004;30
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;06;06/2004;35
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;07;07/2004;27
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;08;08/2004;46
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;09;09/2004;42
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;10;10/2004;44
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;11;11/2004;34
SUDESTE;ES;Espírito Santo;3205002;Serra;Homicídio doloso;12;12/2004;23
SUDESTE;ES;Espírito Santo;3205002;Serra;Roubo de veículo;02;02/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Roubo de veículo;07;07/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Roubo de veículo;08;08/2004;1
SUDESTE;ES;Espírito Santo;3205002;Serra;Roubo de veículo;09;09/2004;2
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;01;01/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;02;02/2004;2
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;03;03/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;04;04/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;06;06/2004;2
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;07;07/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;08;08/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;10;10/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Estupro;12;12/2004;1
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;01;01/2004;17
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;02;02/2004;20
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;03;03/2004;20
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;04;04/2004;19
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;05;05/2004;23
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;06;06/2004;12
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;07;07/2004;24
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;08;08/2004;26
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;09;09/2004;17
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;10;10/2004;19
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;11;11/2004;12
SUDESTE;ES;Espírito Santo;3205200;Vila Velha;Homicídio doloso;12;12/2004;23
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;01;01/2004;1
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;02;02/2004;3
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;03;03/2004;4
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;04;04/2004;11
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;05;05/2004;1
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;06;06/2004;5
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;07;07/2004;3
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;08;08/2004;37
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;09;09/2004;4
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;10;10/2004;3
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;11;11/2004;4
SUDESTE;ES;Espírito Santo;3205309;Vitória;Estupro;12;12/2004;2
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;01;01/2004;229
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;02;02/2004;200
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;03;03/2004;217
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;04;04/2004;221
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;05;05/2004;213
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;06;06/2004;191
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;07;07/2004;235
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;08;08/2004;239
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;09;09/2004;254
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;10;10/2004;245
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;11;11/2004;271
SUDESTE;ES;Espírito Santo;3205309;Vitória;Furto de veículo;12;12/2004;240
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;01;01/2004;14
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;02;02/2004;15
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;03;03/2004;22
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;04;04/2004;12
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;05;05/2004;18
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;06;06/2004;23
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;07;07/2004;15
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;08;08/2004;13
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;09;09/2004;20
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;10;10/2004;15
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;11;11/2004;18
SUDESTE;ES;Espírito Santo;3205309;Vitória;Homicídio doloso;12;12/2004;20
SUDESTE;ES;Espírito Santo;3205309;Vitória;Lesão corporal seguida de morte;08;08/2004;1
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;01;01/2004;106
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;02;02/2004;83
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;03;03/2004;95
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;04;04/2004;92
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;05;05/2004;86
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;06;06/2004;70
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;07;07/2004;73
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;08;08/2004;82
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;09;09/2004;58
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;10;10/2004;103
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;11;11/2004;102
SUDESTE;ES;Espírito Santo;3205309;Vitória;Roubo de veículo;12;12/2004;85
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Estupro;01;01/2004;2
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Estupro;03;03/2004;3
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Estupro;04;04/2004;6
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Estupro;05;05/2004;3
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Estupro;06;06/2004;4
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Estupro;07;07/2004;3
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Estupro;08;08/2004;4
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Estupro;09;09/2004;1
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Estupro;10;10/2004;5
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Estupro;11;11/2004;11
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Estupro;12;12/2004;10
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;01;01/2004;22
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;02;02/2004;12
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;03;03/2004;15
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;04;04/2004;8
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;05;05/2004;11
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;06;06/2004;6
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;07;07/2004;15
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;08;08/2004;10
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;09;09/2004;7
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;10;10/2004;8
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;11;11/2004;9
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Furto de veículo;12;12/2004;10
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;01;01/2004;16
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;02;02/2004;6
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;03;03/2004;15
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;04;04/2004;11
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;05;05/2004;14
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;06;06/2004;7
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;07;07/2004;7
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;08;08/2004;14
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;09;09/2004;14
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;10;10/2004;8
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;11;11/2004;18
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Homicídio doloso;12;12/2004;14
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Lesão corporal seguida de morte;03;03/2004;1
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Lesão corporal seguida de morte;04;04/2004;2
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Lesão corporal seguida de morte;05;05/2004;1
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Lesão corporal seguida de morte;07;07/2004;1
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Lesão corporal seguida de morte;08;08/2004;1
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Lesão corporal seguida de morte;10;10/2004;1
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Lesão corporal seguida de morte;12;12/2004;1
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;01;01/2004;10
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;02;02/2004;6
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;03;03/2004;5
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;04;04/2004;3
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;05;05/2004;6
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;06;06/2004;2
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;07;07/2004;2
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;08;08/2004;5
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;09;09/2004;3
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;10;10/2004;10
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;11;11/2004;7
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo de veículo;12;12/2004;5
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo seguido de morte (latrocínio);02;02/2004;2
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo seguido de morte (latrocínio);03;03/2004;1
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo seguido de morte (latrocínio);04;04/2004;1
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo seguido de morte (latrocínio);10;10/2004;1
SUDESTE;ES;Espírito Santo;NI;Até 100.000 Habitantes;Roubo seguido de morte (latrocínio);12;12/2004;2
SUDESTE;MG;Minas Gerais;3103504;Araguari;Estupro;01;01/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Estupro;02;02/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Estupro;03;03/2004;3
SUDESTE;MG;Minas Gerais;3103504;Araguari;Estupro;04;04/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Estupro;05;05/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Estupro;06;06/2004;4
SUDESTE;MG;Minas Gerais;3103504;Araguari;Estupro;07;07/2004;2
SUDESTE;MG;Minas Gerais;3103504;Araguari;Estupro;08;08/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Estupro;10;10/2004;3
SUDESTE;MG;Minas Gerais;3103504;Araguari;Estupro;11;11/2004;2
SUDESTE;MG;Minas Gerais;3103504;Araguari;Furto de veículo;02;02/2004;21
SUDESTE;MG;Minas Gerais;3103504;Araguari;Furto de veículo;03;03/2004;22
SUDESTE;MG;Minas Gerais;3103504;Araguari;Furto de veículo;04;04/2004;9
SUDESTE;MG;Minas Gerais;3103504;Araguari;Furto de veículo;05;05/2004;16
SUDESTE;MG;Minas Gerais;3103504;Araguari;Furto de veículo;06;06/2004;11
SUDESTE;MG;Minas Gerais;3103504;Araguari;Furto de veículo;07;07/2004;10
SUDESTE;MG;Minas Gerais;3103504;Araguari;Furto de veículo;08;08/2004;6
SUDESTE;MG;Minas Gerais;3103504;Araguari;Furto de veículo;11;11/2004;12
SUDESTE;MG;Minas Gerais;3103504;Araguari;Homicídio doloso;01;01/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Homicídio doloso;02;02/2004;3
SUDESTE;MG;Minas Gerais;3103504;Araguari;Homicídio doloso;03;03/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Homicídio doloso;04;04/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Homicídio doloso;06;06/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Homicídio doloso;07;07/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Homicídio doloso;08;08/2004;3
SUDESTE;MG;Minas Gerais;3103504;Araguari;Homicídio doloso;09;09/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Homicídio doloso;10;10/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Roubo de veículo;04;04/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Roubo de veículo;05;05/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Roubo de veículo;06;06/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Roubo de veículo;07;07/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Roubo de veículo;08;08/2004;1
SUDESTE;MG;Minas Gerais;3103504;Araguari;Roubo de veículo;09;09/2004;1
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Estupro;08;08/2004;3
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Estupro;09;09/2004;1
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Estupro;11;11/2004;1
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Furto de veículo;01;01/2004;4
SUDESTE;MG;Minas Gerais;3105608;Barbacena;Furto de veículo;02;02/2004;2
